"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/05/2026 13:30:00 - 01/05/2026 13:45:00","BZN|GR","Without Sequence","0.00","",""
"01/05/2026 13:45:00 - 01/05/2026 14:00:00","BZN|GR","Without Sequence","0.00","",""
"01/05/2026 14:00:00 - 01/05/2026 14:15:00","BZN|GR","Without Sequence","0.00","",""
"01/05/2026 14:15:00 - 01/05/2026 14:30:00","BZN|GR","Without Sequence","0.00","",""
"01/05/2026 14:30:00 - 01/05/2026 14:45:00","BZN|GR","Without Sequence","0.00","",""
"01/05/2026 14:45:00 - 01/05/2026 15:00:00","BZN|GR","Without Sequence","0.00","",""
"01/05/2026 15:00:00 - 01/05/2026 15:15:00","BZN|GR","Without Sequence","0.00","",""
"01/05/2026 15:15:00 - 01/05/2026 15:30:00","BZN|GR","Without Sequence","0.00","",""
"01/05/2026 15:30:00 - 01/05/2026 15:45:00","BZN|GR","Without Sequence","0.00","",""
"01/05/2026 15:45:00 - 01/05/2026 16:00:00","BZN|GR","Without Sequence","0.00","",""
"01/05/2026 16:00:00 - 01/05/2026 16:15:00","BZN|GR","Without Sequence","0.00","",""
"01/05/2026 16:15:00 - 01/05/2026 16:30:00","BZN|GR","Without Sequence","0.00","",""
"01/05/2026 16:30:00 - 01/05/2026 16:45:00","BZN|GR","Without Sequence","0.00","",""
"01/05/2026 16:45:00 - 01/05/2026 17:00:00","BZN|GR","Without Sequence","0.00","",""
"01/05/2026 17:00:00 - 01/05/2026 17:15:00","BZN|GR","Without Sequence","0.01","",""
"01/05/2026 17:15:00 - 01/05/2026 17:30:00","BZN|GR","Without Sequence","5.61","",""
"01/05/2026 17:30:00 - 01/05/2026 17:45:00","BZN|GR","Without Sequence","59.12","",""
"01/05/2026 17:45:00 - 01/05/2026 18:00:00","BZN|GR","Without Sequence","105.27","",""
"01/05/2026 18:00:00 - 01/05/2026 18:15:00","BZN|GR","Without Sequence","14.61","",""
"01/05/2026 18:15:00 - 01/05/2026 18:30:00","BZN|GR","Without Sequence","85.00","",""
"01/05/2026 18:30:00 - 01/05/2026 18:45:00","BZN|GR","Without Sequence","104.05","",""
"01/05/2026 18:45:00 - 01/05/2026 19:00:00","BZN|GR","Without Sequence","110.55","",""
"01/05/2026 19:00:00 - 01/05/2026 19:15:00","BZN|GR","Without Sequence","92.99","",""
